[,1]       [,2]
result.1  0.08918031 0.04919670
result.2  0.07310839 0.05469754
result.3  0.06588341 0.04844307
result.4  0.07171756 0.05424118
result.5  0.04747421 0.03496013
result.6  0.06640478 0.05654220
result.7  0.07311457 0.06042182
result.8  0.07615115 0.07457376
result.9  0.07552590 0.05627097
result.10 0.17245885 0.14407631
result.11 0.04901551 0.24940756
result.12 0.07235497 0.06035530
result.13 0.01570172 0.02130726
result.14 0.05723767 0.04743525
result.15 0.07106320 0.05415110
result.16 0.02872001 0.02400740
result.17 0.06920805 0.07491917
result.18 0.08460835 0.06214204
result.19 0.17339007 0.12085810
result.20 0.07980677 0.09136658
