@relation grp
@attribute cus1 numeric
@attribute cus2 numeric
@attribute cus3 numeric
@attribute cus4 numeric
@attribute cus5 numeric
@attribute cus6 numeric
@attribute cus7 numeric
@attribute cus8 numeric
@attribute cus9 numeric
@attribute cus10 numeric
@attribute cus11 numeric
@attribute cus12 numeric
@attribute cus13 numeric
@attribute cus14 numeric
@attribute cus15 numeric
@attribute cus16 numeric
@attribute cus17 numeric
@attribute cus18 numeric
@attribute cus19 numeric
@attribute cus20 numeric
@attribute crps numeric
@attribute wv45 numeric
@data
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479813194774369,0.193793020121948
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0493891749786282,0.588394535181896
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0194194987802959,0.946126790102046
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0625417742796835,0.944953302774917
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0340841979788183,0.781986555477774
0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0222258249732435,0.764176661990604
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766569727942883,0.294970329748097
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045494397816563,0.25702151249656
0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.0647575972978615,0.98611817804469
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0199095859878207,0.82450179905063
0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0209316298764079,0.68651496926113
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062622608006664,0.334694147095413
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0428604884730995,0.153044843730267
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0935248206180135,0.401573956758498
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0752467049266634,0.958020523712891
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0392742332411919,0.78738134924285
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0313818981044925,0.673094964468551
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384236442311509,0.131454950248424
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.136780239536232,0.358777361579012
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468465309907205,0.25784095391263
1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0.0261297736438555,1.88298288306282
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.040231793655704,0.440742379201509
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038492248763241,0.58786742131223
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0.0170985633318787,1.47269147889675
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0263997816835301,0.775527098145242
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.0184485497623263,1.21727630399936
1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.050053773432028,1.79387666860515
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0.0220660742659929,0.647284278767188
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0163626084614901,1.1632164118832
1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.0611272049117371,2.02985925090501
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0165220804334592,0.681937017934449
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548868618943564,0.202749429703611
0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0.0356285592721919,1.36153334581765
0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0.0235559628619073,1.36707832597107
0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0.0619866055526179,1.72676901514674
0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0221898251484996,0.967608332708396
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0739354636180825,0.311902306596796
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0771390372322793,0.959845784621728
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0.0198641331171623,1.33402289057781
1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0.0408467614975527,2.04380199396507
