@relation grp_clustered

@attribute Instance_number numeric
@attribute cus1 numeric
@attribute cus2 numeric
@attribute cus3 numeric
@attribute cus4 numeric
@attribute cus5 numeric
@attribute cus6 numeric
@attribute cus7 numeric
@attribute cus8 numeric
@attribute cus9 numeric
@attribute cus10 numeric
@attribute cus11 numeric
@attribute cus12 numeric
@attribute cus13 numeric
@attribute cus14 numeric
@attribute cus15 numeric
@attribute cus16 numeric
@attribute cus17 numeric
@attribute cus18 numeric
@attribute cus19 numeric
@attribute cus20 numeric
@attribute crps numeric
@attribute wv45 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.03485,3.973544,cluster1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.031429,4.267599,cluster1
2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0.022066,0.647284,cluster4
3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0.019864,1.334023,cluster4
4,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0.031426,3.447192,cluster0
5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.025023,0.934025,cluster4
6,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.037765,3.229052,cluster0
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000601,0.003132,cluster2
8,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.024271,2.639027,cluster0
9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.016426,3.802748,cluster0
10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.034084,0.781987,cluster2
11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0.037643,3.030244,cluster0
12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04286,0.153045,cluster2
13,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0.035041,2.426439,cluster0
14,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.034994,3.662282,cluster0
15,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.041352,3.398135,cluster0
16,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0.066285,2.10561,cluster3
17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.018449,1.217276,cluster4
18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.022226,0.764177,cluster4
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.034347,3.970766,cluster1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03114,4.276033,cluster1
21,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.039089,3.166763,cluster0
22,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0.025164,2.641447,cluster0
23,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.030895,3.331544,cluster0
24,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0.036424,2.018056,cluster3
